journal_title	domain
International Journal of Mental Health Systems	STEM
Journal of Happiness Studies	SSH
Journal of Broadcasting & Electronic Media	SSH
Journal of Applied Research in Higher Education	SSH
The Journal of Genetic Psychology	SSH
Journal of Youth and Adolescence	Unknown or multidisciplinary
Gerontology and Geriatric Medicine	STEM
Activities, Adaptation & Aging	SSH
Behavioral Sciences	SSH
Archives of Gerontology and Geriatrics	STEM
Medicine	STEM
Ageing and Society	SSH
Perspectives in Public Health	STEM
Chinese Journal of Communication	SSH
Schizophrenia Research	Unknown or multidisciplinary
Journal of Psychiatric and Mental Health Nursing	SSH
International Journal of Behavioral Development	SSH
European Journal of Personality	Unknown or multidisciplinary
Frontiers in Psychology	SSH
Journal of Affective Disorders	STEM
Psychiatry Research	SSH
BMC Public Health	STEM
Journal of Social and Clinical Psychology	SSH
Revista de Filosofía	Unknown or multidisciplinary
International Journal of Academic Research in Business and Social Sciences	SSH
Quality of Life Research	SSH
Innovation in Aging	SSH
Nursing Praxis Aotearoa New Zealand	STEM
CMAJ Open	Unknown or multidisciplinary
The Psychoanalytic Quarterly	SSH
Journal of Australian Studies	SSH
Journal of Long Term Care	Unknown or multidisciplinary
Culture and Text	SSH
Visnyk of the Lviv University Series Philosophical Sciences	SSH
Erzincan Üniversitesi Eğitim Fakültesi Dergisi	Unknown or multidisciplinary
Mental Health & Prevention	STEM
The Korean Journal of the Human Development	SSH
Innovation in Aging	SSH
Bulletin of the Moscow State Regional University (Linguistics)	SSH
Innovation in Aging	SSH
Gerontechnology	STEM
Acta Psychologica Sinica	SSH
Survey Research	Unknown or multidisciplinary
Tematy i Konteksty	Unknown or multidisciplinary
Aging & Mental Health	SSH
Age and Ageing	SSH
Scientific notes of Taurida National V.I. Vernadsky University, series Psychology	SSH
European Geriatric Medicine	STEM
Health Promotion Practice	STEM
Procedia - Social and Behavioral Sciences	SSH
Computers in Human Behavior	SSH
Journal of Psychopathology and Clinical Science	SSH
Neuroscience & Biobehavioral Reviews	SSH
International Journal of Mental Health Nursing	STEM
Age and Ageing	SSH
Journal of the American Geriatrics Society	SSH
Family Practice	SSH
Archives of Gerontology and Geriatrics	STEM
Computers in Human Behavior	SSH
Journal of Gay & Lesbian Mental Health	STEM
Journal of Educational Computing Research	SSH
The Journals of Gerontology: Series B	Unknown or multidisciplinary
Telematics and Informatics	Unknown or multidisciplinary
Journal of Psychosomatic Obstetrics & Gynecology	SSH
Palabra Clave	Unknown or multidisciplinary
Archives of Psychiatric Nursing	SSH
Frontiers in Psychiatry	SSH
Housing Studies	SSH
Gerontechnology	STEM
Behavioral Sciences	SSH
Frontiers in Psychology	SSH
Journal of Psychosocial Research	SSH
International Journal of Psychology	SSH
Alberta Journal of Educational Research	SSH
Anemon Muş Alparslan Üniversitesi Sosyal Bilimler Dergisi	Unknown or multidisciplinary
Frontiers in Psychiatry	SSH
OMEGA - Journal of Death and Dying	Unknown or multidisciplinary
Aging & Mental Health	SSH
The British Journal of Social Work	SSH
British Journal of Social Psychology	SSH
OMEGA - Journal of Death and Dying	Unknown or multidisciplinary
Journal of Population Ageing	SSH
Educational Gerontology	SSH
Organizational Behavior and Human Decision Processes	SSH
Geriatric Nursing	STEM
The Gerontologist	Unknown or multidisciplinary
Social Science & Medicine	SSH
Journal of International Business Studies	SSH
Social Policy and Society	SSH
Social Policy & Administration	SSH
Schizophrenia Research: Cognition	Unknown or multidisciplinary
Journal of Business Research	STEM
Canadian Journal on Aging / La Revue canadienne du vieillissement	SSH
The Journal of Psychology	SSH
Aging & Mental Health	SSH
Frontiers in Psychiatry	SSH
Open Research Europe	Unknown or multidisciplinary
Frontiers in Psychology	SSH
The Journal of the American Board of Family
                Medicine	SSH
Health Psychology	SSH
Frontiers in Psychology	SSH
Stigma and Health	STEM
Addiction Research & Theory	SSH
The Journals of Gerontology: Series B	Unknown or multidisciplinary
European Journal of Cardiovascular Nursing	STEM
Journal of Affective Disorders	STEM
Psychological Medicine	SSH
Perspectives in Psychiatric Care	SSH
Social Behavior and Personality: an international journal	SSH
Humanistic Perspective	Unknown or multidisciplinary
Journal of Geriatric Nursing	STEM
Journal of International Social Research	SSH
The Proceedings of the Annual Convention of the Japanese Psychological Association	SSH
Journal of Religion and Health	STEM
Procedia - Social and Behavioral Sciences	SSH
Tomsk state pedagogical university bulletin	SSH
Biomedical and Pharmacology Journal	STEM
Psychological Reports	SSH
JOURNAL OF CLINICAL AND DIAGNOSTIC RESEARCH	STEM
Asian Social Science	SSH
AIDS	STEM
Journal of Economic Perspectives	STEM
European Journal of Higher Education	SSH
Health & Social Care in the Community	SSH
Anthrozoos: A Multidisciplinary Journal of The Interactions of People & Animals	Unknown or multidisciplinary
Journal of Community Psychology	SSH
NurseLine Journal	STEM
The Journal of Early Adolescence	Unknown or multidisciplinary
The Spanish Journal of Psychology	SSH
European Psychologist	SSH
Psycho-Oncology	SSH
Social Behavior and Personality: an international journal	SSH
Psychology, Health & Medicine	SSH
World Journal of Advanced Research and Reviews	Unknown or multidisciplinary
Enfermería Clínica (English Edition)	Unknown or multidisciplinary
AIDS Care	STEM
Journal of Women & Aging	SSH
Journal of Applied Social Psychology	SSH
Ageing International	SSH
Women's Midlife Health	STEM
Journal of Consumer Behaviour	SSH
Public Health	STEM
The Journal of Experimental Education	SSH
Depression and Anxiety	SSH
Scandinavian Journal of Educational Research	SSH
Computers in Human Behavior	SSH
Akdeniz Spor Bilimleri Dergisi	Unknown or multidisciplinary
The Journal of Humanities and Social sciences 21	SSH
Infant and Child Development	SSH
Australasian Journal on Ageing	SSH
The Journals of Gerontology: Series B	Unknown or multidisciplinary
Kastamonu Eğitim Dergisi	Unknown or multidisciplinary
İnönü Üniversitesi Eğitim Fakültesi Dergisi	Unknown or multidisciplinary
International Journal of Behavioral Medicine	SSH
Psychological Research on Urban Society	SSH
Gerontology and Geriatric Medicine	STEM
Educational Gerontology	SSH
Phenomenology, Humanities and Sciences	SSH
Cogitare Enfermagem	Unknown or multidisciplinary
International Psychogeriatrics	SSH
Phenomenology and the Cognitive Sciences	Unknown or multidisciplinary
Journal of Clinical Psychiatry	SSH
Child Maltreatment	SSH
Military Medicine	SSH
TRANS Asian Journal of Marketing & Management Research (TAJMMR)	STEM
The Journals of Gerontology: Series B	Unknown or multidisciplinary
Sleep Medicine	STEM
Social Psychiatry and Psychiatric Epidemiology	SSH
Frontiers in Psychiatry	SSH
Ageing and Society	SSH
Journal of Autism and Developmental Disorders	SSH
European Journal of Ageing	SSH
Anthropology & Aging	SSH
Journal of Affective Disorders Reports	STEM
Frontiers in Psychology	SSH
European Child & Adolescent Psychiatry	SSH
Canadian Journal on Aging / La Revue canadienne du vieillissement	SSH
Geriatric Nursing	STEM
Scandinavian Journal of Caring Sciences	Unknown or multidisciplinary
Dokuz Eylül Üniversitesi Denizcilik Fakültesi Dergisi	Unknown or multidisciplinary
Child Abuse & Neglect	SSH
International electronic scientific journal “Science Online”	STEM
Frontiers in Public Health	STEM
Aggressive Behavior	SSH
American Journal of Hospice and Palliative Medicine®	STEM
European Journal of Cancer Care	Unknown or multidisciplinary
Health Psychology	SSH
Scandinavian Journal of Caring Sciences	Unknown or multidisciplinary
Proceedings of the National Academy of Sciences	Unknown or multidisciplinary
Innovation in Aging	SSH
Aging & Mental Health	SSH
The Korean Data Analysis Society	SSH
Jurnal Psikologi Sosial	SSH
PLOS ONE	Unknown or multidisciplinary
Psychology of Religion and Spirituality	SSH
International Journal of Social Science Studies	SSH
Annals of Geriatric Medicine and Research	STEM
Quality of Life Research	SSH
Evidence Based Library and Information Practice	Unknown or multidisciplinary
Archives of Psychiatric Nursing	SSH
Korean Aging-Frendly Industry Association	SSH
The Journal of nutrition, health and aging	SSH
The Journal of nutrition, health and aging	SSH
Frontiers in Psychology	SSH
Journal of Youth and Adolescence	Unknown or multidisciplinary
Psychology in Education	SSH
Pushkin Leningrad State University Journal	Unknown or multidisciplinary
Biological Psychiatry	SSH
İmgelem	Unknown or multidisciplinary
Neuroscience Applied	STEM
Journal of Korean Home Management Association	STEM
Journal of Religion and Health	STEM
Textual Practice	Unknown or multidisciplinary
Journal of the American Medical Directors Association	STEM
Journal of Affective Disorders Reports	STEM
Sotsiologicheskie issledovaniya	Unknown or multidisciplinary
Network Neuroscience	STEM
Social Psychological and Personality Science	SSH
Scandinavian Journal of Caring Sciences	Unknown or multidisciplinary
International Journal of Mental Health and Addiction	STEM
The Journal of Humanities and Social sciences 21	SSH
Psychologica Belgica	SSH
Innovation in Aging	SSH
Innovation in Aging	SSH
Alzheimer's & Dementia	STEM
Journal of College and Character	SSH
Data in Brief	Unknown or multidisciplinary
Frontiers in Psychology	SSH
Social Behavior and Personality: an international journal	SSH
Journal of Neurophysiology	STEM
Frontiers in Psychology	SSH
Social Science & Medicine	SSH
Journal of Medical Internet Research	STEM
Frontiers in Psychology	SSH
Psychological Studies	SSH
Psychiatric Genetics	SSH
Neuropsychopharmacology	SSH
Acta Paulista de Enfermagem	Unknown or multidisciplinary
Scandinavian Journal of Psychology	SSH
Journal of Youth and Adolescence	Unknown or multidisciplinary
European Journal of Special Needs Education	SSH
Personality and Individual Differences	Unknown or multidisciplinary
International Journal of Therapy and Rehabilitation	SSH
BMC Geriatrics	STEM
Computers in Human Behavior	SSH
Journal of Research and Health	STEM
Türkiye Aile Hekimliği Dergisi	Unknown or multidisciplinary
Journal of Gerontological Social Work	SSH
The Gerontologist	Unknown or multidisciplinary
Clinical Psychologist	SSH
Computers in Human Behavior	SSH
Current Psychology	SSH
JMIR Aging	SSH
Child Psychiatry & Human Development	SSH
BMC Geriatrics	STEM
Journal of Research in Personality	Unknown or multidisciplinary
British Journal of Psychotherapy	SSH
International Journal of Psychology	SSH
Quality of Life Research	SSH
The Journal of Genetic Psychology	SSH
Canadian Journal on Aging / La Revue canadienne du vieillissement	SSH
BMJ Open	Unknown or multidisciplinary
Journal of Advanced Nursing	STEM
Korean Journal for Infant Mental Health	STEM
Journal of Clinical Oncology	STEM
Animals	Unknown or multidisciplinary
Journal of Korean Home Management Association	STEM
European Archives of Psychiatry and Clinical Neuroscience	SSH
The International Journal of Artificial Organs	Unknown or multidisciplinary
Frontiers in Psychology	SSH
International Journal of Environmental Research and Public Health	STEM
Behaviour & Information Technology	SSH
Scandinavian Journal of Caring Sciences	Unknown or multidisciplinary
The Proceedings of the Annual Convention of the Japanese Psychological Association	SSH
European Journal of Social Sciences Education and Research	SSH
PLoS ONE	Unknown or multidisciplinary
Social Neuroscience	SSH
Depression and Anxiety	SSH
Paidéia (Ribeirão Preto)	Unknown or multidisciplinary
The Arts in Psychotherapy	SSH
Behaviour Change	SSH
Journal of Educational Theory and Management	SSH
Asia-pacific Journal of Multimedia Services Convergent with Art, Humanities, and Sociology	SSH
Humanistic Perspective	Unknown or multidisciplinary
Psychoneuroendocrinology	SSH
British Journal of Community Nursing	SSH
American Journal of Medical Genetics Part B: Neuropsychiatric Genetics	SSH
Disaster Medicine and Public Health Preparedness	STEM
American Journal of Alzheimer's Disease & Other Dementiasr	STEM
Social Work in Health Care	SSH
Innovation in Aging	SSH
Journal of Family Communication	SSH
Journal of Deaf Studies and Deaf Education	SSH
Addiction and Health	STEM
Theory and practice of modern psychology	SSH
International Journal of Geriatric Psychiatry	SSH
Current Psychology	SSH
Children and Youth Services Review	SSH
International Journal of Environmental Research and Public Health	STEM
Scandinavian Journal of Psychology	SSH
Journal of Child and Family Studies	SSH
International Journal of Public Health Science (IJPHS)	STEM
İnönü Üniversitesi Sağlık Hizmetleri Meslek Yüksek Okulu Dergisi	Unknown or multidisciplinary
Neuroscience Applied	STEM
Frontiers in Psychiatry	SSH
Social Science & Medicine	SSH
Journal of Business Management and Economic Research	STEM
Social Behavior and Personality: an international journal	SSH
Journal of Social and Personal Relationships	SSH
Gerontology and Geriatric Medicine	STEM
Telecommunications Journal of Australia	Unknown or multidisciplinary
Revista Latinoamericana de Psicopatologia Fundamental	Unknown or multidisciplinary
International Journal of Geriatric Psychiatry	SSH
Advances in Life Course Research	Unknown or multidisciplinary
Korean Society for Emotion and Sensibility	SSH
Brain & Life	STEM
Journal for the Education of the Gifted	SSH
Epidemiology, Biostatistics, and Public Health	STEM
Behavioral Sciences	SSH
Journal of Social and Personal Relationships	SSH
Ethics and Information Technology	STEM
International Journal of Environmental Research and Public Health	STEM
İş ve İnsan Dergisi	Unknown or multidisciplinary
Clinical Journal of Oncology Nursing	STEM
Social Behavior and Personality: an international journal	SSH
The Journal of Academic Social Science Studies	SSH
Future Oriented Youth Society	SSH
International Journal of Public Health	STEM
The International Journal of Aging and Human Development	SSH
Current Psychology	SSH
Social Indicators Research	SSH
Leisure Sciences	Unknown or multidisciplinary
Journal of Nursing Management	STEM
Preventive Medicine	STEM
European Journal of Ageing	SSH
Psychology & Marketing	SSH
The American Journal of Geriatric Psychiatry	SSH
Epidemiology and Psychiatric Sciences	SSH
Journal of Management Information Systems	STEM
Journal of Planning Education and Research	SSH
Health & Place	STEM
Revista de Pesquisa Cuidado é Fundamental Online	Unknown or multidisciplinary
Global Journal of Health Science	STEM
Balıkesır Health Sciences Journal	STEM
The American Journal of Geriatric Psychiatry	SSH
Social Psychiatry and Psychiatric Epidemiology	SSH
Molecular Psychiatry	SSH
International Journal of Environmental Research and Public Health	STEM
The American Journal of Geriatric Psychiatry	SSH
Journal of Industrial Distribution & Business	STEM
Journal of Client-centered Nursing Care	STEM
Annals of Oncology	STEM
Peshawar Journal of Psychology and Behavioral Sciences (PJPBS)	SSH
Innovation in Aging	SSH
Brain, Behavior, and Immunity	SSH
Korean Journal of Gerontological Social Welfare	SSH
International Journal of Population Data Science	STEM
Health Psychology	SSH
Aging & Mental Health	SSH
Zbornik radova Filozofskog fakulteta u Pristini	Unknown or multidisciplinary
Yönetim ve Ekonomi Dergisi	Unknown or multidisciplinary
Psychology Research and Behavior Management	SSH
The American Journal of Geriatric Psychiatry	SSH
Japanese Psychological Research	SSH
International Journal of Environmental Research and Public Health	STEM
Archives of Gerontology and Geriatrics	STEM
Journal of Youth Studies	SSH
Health Psychology	SSH
Health Psychology	SSH
The Proceedings of the Annual Convention of the Japanese Psychological Association	SSH
Transcultural Psychiatry	SSH
International Journal of Older People Nursing	STEM
Ansiedad y Estrés	Unknown or multidisciplinary
Cadernos de Saúde Pública	Unknown or multidisciplinary
Psychophysiology	SSH
Age and Ageing	SSH
International Journal of Integrated Care	Unknown or multidisciplinary
Journal of Parent Education	SSH
The Journal of Humanities and Social sciences 21	SSH
Aging & Mental Health	SSH
Brasília Médica	Unknown or multidisciplinary
Personality and Social Psychology Bulletin	SSH
Gériatrie et Psychologie Neuropsychiatrie du Vieillissement	SSH
Adam alemi	Unknown or multidisciplinary
Croatian Journal of Education  -  Hrvatski časopis za odgoj i obrazovanje	SSH
Adversity and Resilience Science	STEM
Social Indicators Research	SSH
BMC Public Health	STEM
Journal of Intergenerational Relationships	SSH
Behaviour & Information Technology	SSH
Clinical Gerontologist	STEM
Journal of Clinical Nursing	STEM
Journal of Social and Clinical Psychology	SSH
The Lancet Healthy Longevity	STEM
The Journals of Gerontology Series B: Psychological Sciences and Social Sciences	SSH
International Journal of Sociology and Social Policy	SSH
PLOS ONE	Unknown or multidisciplinary
International Journal of Environmental Research and Public Health	STEM
Journal of Affective Disorders	STEM
Health & Social Work	SSH
International Journal of Intercultural Relations	SSH
Sexual Addiction & Compulsivity	Unknown or multidisciplinary
Perspectives in Public Health	STEM
Personality and Individual Differences	Unknown or multidisciplinary
International Journal of Environmental Research and Public Health	STEM
BMJ Open	Unknown or multidisciplinary
International Journal of Cognitive Therapy	SSH
International Journal of Comparative Sociology	SSH
Occupational Medicine	STEM
Journal of Offender Rehabilitation	Unknown or multidisciplinary
Personal Relationships	SSH
Disability and Health Journal	STEM
Death Studies	SSH
BMC Public Health	STEM
Social Media + Society	SSH
Aging & Mental Health	SSH
Child Indicators Research	SSH
Pediatric Obesity	Unknown or multidisciplinary
Psychology in the Schools	SSH
International Journal of High Risk Behaviors and Addiction	SSH
Aging & Mental Health	SSH
South African Review of Sociology	SSH
Journal of Arts & Communities	SSH
Journal of Poverty	Unknown or multidisciplinary
Systematic Reviews	Unknown or multidisciplinary
Journal of Sexual Aggression	Unknown or multidisciplinary
Psychophysiology	SSH
Sociologia Ruralis	SSH
International Journal of Education and Practice	SSH
Scandinavian Journal of Child and Adolescent Psychiatry and Psychology	SSH
Social Policy and Society	SSH
The Journals of Gerontology: Series B	Unknown or multidisciplinary
European Journal of Preventive Cardiology	Unknown or multidisciplinary
British Journal of Social Psychology	SSH
Family Medicine & Primary Care Review	SSH
Educational Policy Analysis and Strategic Research	SSH
British Journal of Developmental Psychology	SSH
International Journal of Environmental Research and Public Health	STEM
European Psychiatry	SSH
Archives of Disease in Childhood	SSH
Innovation in Aging	SSH
The Society of Korean Literary Therapy	SSH
Archives of Physical Medicine and Rehabilitation	STEM
Korean Journal of Christian Counseling	SSH
Scientic Bulletin of Kherson State University. Series Psychological Sciences	SSH
International Journal of Therapy and Rehabilitation	SSH
International Journal of Geriatric Psychiatry	SSH
International Journal of Interactive Mobile Technologies (iJIM)	STEM
International Journal of Social Psychiatry	SSH
Current Psychology	SSH
Psychological Reports	SSH
Journal of Science Social Science	SSH
Geriatric Nursing	STEM
Frontiers in Psychology	SSH
Child and Adolescent Mental Health	SSH
Feminist Legal Studies	SSH
Korean Society for Emotion and Sensibility	SSH
Research Directions: Depression	SSH
BRAIN. Broad Research in Artificial Intelligence and Neuroscience	STEM
Australian Historical Studies	SSH
PLOS ONE	Unknown or multidisciplinary
Middle East Current Psychiatry	SSH
Child and Adolescent Mental Health	SSH
The Proceedings of the Annual Convention of the Japanese Psychological Association	SSH
Current Issues in Personality Psychology	SSH
Frontiers in Psychology	SSH
Osteoarthritis and Cartilage	Unknown or multidisciplinary
JMIR Research Protocols	Unknown or multidisciplinary
Journal of Human Understanding and Counseling	SSH
European Journal of Marketing	STEM
Journal of Obsessive-Compulsive and Related Disorders	STEM
Perspectives in Psychiatric Care	SSH
Healthcare	STEM
The Journal of Humanities and Social sciences 21	SSH
Journal of Behavior Therapy and Experimental Psychiatry	SSH
Nordisk sygeplejeforskning	Unknown or multidisciplinary
Archives of Gerontology and Geriatrics	STEM
International Journal of Research in Medical Sciences	STEM
Journal of Psychiatry and Psychiatric Disorders	SSH
Annales Universitatis Mariae Curie-Sklodowska, sectio N – Educatio Nova	Unknown or multidisciplinary
International Journal of Environmental Research and Public Health	STEM
Sexuality & Culture	SSH
PsyCh Journal	SSH
Occupational Therapy International	SSH
Supportive Care in Cancer	Unknown or multidisciplinary
Türkiye Mesleki ve Sosyal Bilimler Dergisi	Unknown or multidisciplinary
PLOS ONE	Unknown or multidisciplinary
Journal of Adolescent Health	STEM
Journal of Family Medicine and Primary Care	SSH
Public Health	STEM
Journal of Organizational Effectiveness: People and Performance	Unknown or multidisciplinary
International Journal of Environmental Research and Public Health	STEM
International Psychogeriatrics	SSH
International Journal of Environmental Research and Public Health	STEM
International Journal of Business and Society	SSH
Frontiers in Psychology	SSH
Brain, Behavior, and Immunity	SSH
Basic and Applied Social Psychology	SSH
Journal of Obsessive-Compulsive and Related Disorders	STEM
Research on Aging	SSH
The Journal of Sociology & Social Welfare	SSH
Archives of Gerontology and Geriatrics	STEM
International Journal of Information Management	STEM
Journal of Research in Personality	Unknown or multidisciplinary
The American Journal of Geriatric Psychiatry	SSH
The International Journal of Human Resource Management	STEM
Korean Association For Learner-Centered Curriculum And Instruction	Unknown or multidisciplinary
International Journal of Environmental Research and Public Health	STEM
International Journal of Environmental Research and Public Health	STEM
Journal of Psychology in Africa	SSH
Athens Journal of Education	SSH
Merrill-Palmer Quarterly	Unknown or multidisciplinary
Journal of Child and Family Studies	SSH
Journal of the American Geriatrics Society	SSH
Intensive and Critical Care Nursing	STEM
Educational Gerontology	SSH
The Journal of nutrition, health and aging	SSH
Journal of Air Transport Management	STEM
The Laryngoscope	Unknown or multidisciplinary
The Counseling Psychologist	SSH
Health Psychology Open	SSH
Jornal de Pediatria	Unknown or multidisciplinary
Aging & Mental Health	SSH
Journal of Medical Internet Research	STEM
Appetite	Unknown or multidisciplinary
International Journal of Environmental Research and Public Health	STEM
Social Neuroscience	SSH
Psychological Bulletin	SSH
International Psychogeriatrics	SSH
Journal of Counseling Psychology	SSH
Health & Social Care in the Community	SSH
International Journal of Clinical and Health Psychology	SSH
Educational Gerontology	SSH
Perspectives on Psychological Science	SSH
EUNOMÍA. Revista en Cultura de la Legalidad	SSH
BMC Geriatrics	STEM
Psi Beta Research Journal	Unknown or multidisciplinary
Egyptian Journal of Health Care	STEM
Bisma The Journal of Counseling	SSH
Nusantara Journal of Behavioral and Social Sciences	SSH
Personality and Individual Differences	Unknown or multidisciplinary
Family Process	SSH
Journal of Social and Personal Relationships	SSH
British Journal of Neurosurgery	STEM
Innovation in Aging	SSH
Bulletin of the South Ural State University series "Psychology"	SSH
Korean Logistics Research Association	STEM
Korea Academy of Care Management	STEM
Korea Academy of Care Management	STEM
Applied Neuropsychology: Child	SSH
Children and Youth Services Review	SSH
Irish Journal of Sociology	SSH
Current Psychology	SSH
Advances in Psychology	SSH
Journalism and Communications	SSH
Journal of Human Sciences	Unknown or multidisciplinary
Social Indicators Research	SSH
Alzheimer's & Dementia	STEM
Vestnik of Samara State Technical University. Series Philosophy	SSH
Current Issues in Personality Psychology	SSH
Proceedings of the International AAAI Conference on Web and Social Media	SSH
Journal of Contemporary Archaeology	Unknown or multidisciplinary
The Society of Korean Literary Therapy	SSH
History of Education Quarterly	SSH
CyberPsychology & Behavior	SSH
Journal of Aging and Health	SSH
Sociology	SSH
International Journal of Environmental Research and Public Health	STEM
Journal of Health Informatics and Statistics	STEM
Anales de Psicología	SSH
The Primary Care Companion For CNS Disorders	STEM
npj Mental Health Research	STEM
Human Movement Science	STEM
Educational and Psychological Measurement	SSH
Developmental Psychology	SSH
Frontiers in Psychology	SSH
Aging & Mental Health	SSH
Psychology Research and Behavior Management	SSH
Journal of Epidemiology and Community Health	SSH
Journal of Gerontological Nursing	STEM
Discover Psychology	SSH
Innovation in Aging	SSH
Journal of Pain Research	Unknown or multidisciplinary
Personality and Social Psychology Bulletin	SSH
Alzheimer's & Dementia	STEM
European Journal of Women's Studies	SSH
Sosyal Ekonomik Araştırmalar Dergisi	Unknown or multidisciplinary
Home Healthcare Nurse: The Journal for the Home Care and Hospice Professional	STEM
Journal of Community Health Nursing	SSH
Frontiers in Digital Health	STEM
Child Psychiatry & Human Development	SSH
Activities, Adaptation & Aging	SSH
Journal of Social and Clinical Psychology	SSH
Journal of Youth and Adolescence	Unknown or multidisciplinary
BMC Geriatrics	STEM
Aging & Mental Health	SSH
Aging & Mental Health	SSH
The International Journal of Aging and Human Development	SSH
Journal of International Education in Business	SSH
Journal of Intellectual & Developmental Disability	SSH
Journal of Korean Neuropsychiatric Association	SSH
Experimental Brain Research	STEM
Current Psychology	SSH
Autism in Adulthood	Unknown or multidisciplinary
JMIR Mental Health	STEM
Psychogeriatrics	SSH
Diskurs Kindheits- und Jugendforschung	Unknown or multidisciplinary
Social Psychiatry and Psychiatric Epidemiology	SSH
Current Opinion in Psychology	SSH
The Journal of Psychology	SSH
Nursing Children and Young People	SSH
Scandinavian Journal of Public Health	STEM
International Journal of Consumer Studies	SSH
Telematics and Informatics	Unknown or multidisciplinary
Social Behavior and Personality: an international journal	SSH
Social Neuroscience	SSH
International Journal of Environmental Research and Public Health	STEM
Zahedan Journal of Research in Medical Sciences	STEM
Schizophrenia	Unknown or multidisciplinary
Proceedings Series on Social Sciences & Humanities	SSH
Geriatric Nursing	STEM
Age and Ageing	SSH
Child & Family Social Work	SSH
Current Psychology	SSH
Journal of Social and Personal Relationships	SSH
Aging & Mental Health	SSH
International Peer-Reviewed Journal of Nutrition Research	STEM
Advances in Social Sciences	SSH
Empowerment Jurnal Mahasiswa Psikologi Universitas Buana Perjuangan Karawang	SSH
Journal of Science Social Science	SSH
Critique: Studies in Contemporary Fiction	SSH
Canadian Journal of Family and Youth /            Le Journal Canadien de Famille et de la Jeunesse	SSH
Personality and Individual Differences	Unknown or multidisciplinary
Brain, Behavior, and Immunity	SSH
Psychology Research and Behavior Management	SSH
Psikiyatride Güncel Yaklaşımlar	Unknown or multidisciplinary
Annals of Tropical Medicine and Public Health	STEM
IP Journal of Paediatrics and Nursing Science	STEM
Korean Journal of Social Welfare	SSH
The Journal of the American Dental Association	STEM
Korean Association For Learner-Centered Curriculum And Instruction	Unknown or multidisciplinary
Korean Association For Learner-Centered Curriculum And Instruction	Unknown or multidisciplinary
Journal of Affective Disorders	STEM
International Journal of Environmental Research and Public Health	STEM
Egyptian Journal of Health Care	STEM
Productivity Review	STEM
Journal of Social and Personal Relationships	SSH
Culture and Brain	SSH
International Journal of Environmental Research and Public Health	STEM
The Korean Academic Association of Business Administration	STEM
Lifelong Learning	SSH
Journal of Social Work Practice in the Addictions	SSH
Frontiers in Psychology	SSH
Sociology of Health & Illness	SSH
The Korean Journal of Physical Education	SSH
IBRO Neuroscience Reports	STEM
International Journal for the Advancement of Counselling	SSH
Open Journal of Psychiatry	SSH
Balıkesir Üniversitesi Sosyal Bilimler Enstitüsü Dergisi	Unknown or multidisciplinary
SSRN Electronic Journal	Unknown or multidisciplinary
Anxiety, Stress, & Coping	Unknown or multidisciplinary
Oncotarget	STEM
International Journal of Environmental Research and Public Health	STEM
Family Relations	SSH
Sexual Addiction & Compulsivity	Unknown or multidisciplinary
Neurology	STEM
European Journal of Special Needs Education	SSH
PLOS ONE	Unknown or multidisciplinary
Journal of Child Psychology and Psychiatry	SSH
Behaviour Change	SSH
BMC Psychiatry	SSH
European Journal of Psychological Studies	SSH
South African Journal of Psychology	SSH
Medicine	STEM
Journal of Family Psychology	SSH
Schizophrenia Research	Unknown or multidisciplinary
Journal of Public Health	STEM
Frontiers in Public Health	STEM
Journal of Child & Adolescent Mental Health	SSH
Aging & Mental Health	SSH
Journal of Population Research	Unknown or multidisciplinary
Journal of Broadcasting & Electronic Media	SSH
Journal of Learning Disabilities	SSH
Quality in Ageing and Older Adults	SSH
International Journal of Environmental Research and Public Health	STEM
Bağımlılık Dergisi	Unknown or multidisciplinary
Journal of Community Psychology	SSH
BMC Psychology	SSH
Journal of the American Geriatrics Society	SSH
International Journal of Nursing Terminologies and Classifications	STEM
International Psychogeriatrics	SSH
Health Psychology	SSH
Nursing Ethics	STEM
International Journal of Environmental Research and Public Health	STEM
International Journal of Environmental Research and Public Health	STEM
The Journals of Gerontology: Series B	Unknown or multidisciplinary
The American Journal of Geriatric Psychiatry	SSH
Journal of Marriage and Family	SSH
Diabetologia	Unknown or multidisciplinary
The American Journal of Geriatric Psychiatry	SSH
International Journal of Psychoanalytic Self Psychology	SSH
Studia Universitatis Babeș-Bolyai Psychologia-Paedagogia	SSH
International Journal of Environmental Research and Public Health	STEM
Asian Journal of Research in Infectious Diseases	STEM
Frontiers in Psychology	SSH
International Journal of Environmental Research and Public Health	STEM
Transcultural Psychiatry	SSH
Journal of the North for Humanities	SSH
3. SEKTÖR SOSYAL EKONOMİ DERGİSİ	Unknown or multidisciplinary
Asian Business & Management	STEM
Brain, Behavior, and Immunity	SSH
THE KOREAN JOURNAL OF DEVELOPMENTAL PSYCHOLOGY	SSH
Journal of Pediatric Health Care	STEM
The Center for Social Welfare Research Yonsei University	SSH
The Journal of Early Adolescence	Unknown or multidisciplinary
Iranian Journal of Psychiatry and Behavioral Sciences	SSH
Journal of Gerontological Nursing	STEM
Aging & Mental Health	SSH
Australasian Journal on Ageing	SSH
Psychiatric Rehabilitation Journal	SSH
The International Journal of Aging and Human Development	SSH
Psychiatry	SSH
Advances in Psychology	SSH
